departamento,anio,numero_desmovilizados
La Guajira,2008,9
La Guajira,2009,10
La Guajira,2010,2
La Guajira,2011,3
La Guajira,2012,1
La Guajira,2013,10
La Guajira,2014,10
La Guajira,2015,3
La Guajira,2016,6
La Guajira,2017,2
Magdalena,2003,11
Magdalena,2004,77
Magdalena,2005,113
Magdalena,2006,1787
Magdalena,2007,11
Magdalena,2008,9
Magdalena,2009,7
Magdalena,2010,10
Magdalena,2011,7
Magdalena,2012,9
Magdalena,2013,13
Magdalena,2014,5
Magdalena,2015,2
Magdalena,2016,4
Magdalena,2017,1
Meta,2003,92
Meta,2004,139
Meta,2005,472
Meta,2006,886
Meta,2007,155
Meta,2008,366
Meta,2009,200
Meta,2010,229
Meta,2011,181
Meta,2012,129
Meta,2013,119
Meta,2014,121
Meta,2015,69
Meta,2016,110
Meta,2017,97
Narino,2003,7
Narino,2004,13
Narino,2005,156
Narino,2006,86
Narino,2007,39
Narino,2008,29
Narino,2009,44
Narino,2010,24
Narino,2011,17
Narino,2012,17
Narino,2013,23
Narino,2014,10
Narino,2015,17
Narino,2016,12
Narino,2017,93
Norte De Santander,2003,36
Norte De Santander,2004,480
Norte De Santander,2005,222
Norte De Santander,2006,333
Norte De Santander,2007,38
Norte De Santander,2008,32
Norte De Santander,2009,30
Norte De Santander,2010,41
Norte De Santander,2011,14
Norte De Santander,2012,27
Norte De Santander,2013,21
Norte De Santander,2014,34
Norte De Santander,2015,8
Norte De Santander,2016,16
Norte De Santander,2017,2
Por Establecer,2003,1205
Por Establecer,2004,1101
Por Establecer,2005,1049
Por Establecer,2006,1115
Por Establecer,2007,364
Por Establecer,2008,383
Por Establecer,2009,531
Por Establecer,2010,329
Por Establecer,2011,185
Por Establecer,2012,67
Por Establecer,2013,15
Por Establecer,2014,6
Por Establecer,2015,5
Por Establecer,2016,11
Por Establecer,2017,52
Putumayo,2003,12
Putumayo,2004,15
Putumayo,2005,24
Putumayo,2006,124
Putumayo,2007,40
Putumayo,2008,53
Putumayo,2009,57
Putumayo,2010,79
Putumayo,2011,24
Putumayo,2012,27
Putumayo,2013,40
Putumayo,2014,9
Putumayo,2015,15
Putumayo,2016,7
Putumayo,2017,3
Quindio,2003,23
Quindio,2004,35
Quindio,2005,98
Quindio,2006,92
Quindio,2007,25
Quindio,2008,31
Quindio,2009,37
Quindio,2010,24
Quindio,2011,27
Quindio,2012,7
Quindio,2013,12
Quindio,2014,22
Quindio,2015,10
Quindio,2016,7
Quindio,2017,4
Risaralda,2003,27
Risaralda,2004,37
Risaralda,2005,404
Risaralda,2006,218
Risaralda,2007,71
Risaralda,2008,79
Risaralda,2009,51
Risaralda,2010,42
Risaralda,2011,21
Risaralda,2012,9
Risaralda,2013,24
Risaralda,2014,17
Risaralda,2015,20
Risaralda,2016,17
Risaralda,2017,12
Santander,2003,95
Santander,2004,130
Santander,2005,365
Santander,2006,1393
Santander,2007,79
Santander,2008,59
Santander,2009,52
Santander,2010,36
Santander,2011,31
Santander,2012,40
Santander,2013,35
Santander,2014,29
Santander,2015,20
Santander,2016,11
Santander,2017,8
Sucre,2003,3
Sucre,2004,92
Sucre,2005,355
Sucre,2006,310
Sucre,2007,49
Sucre,2008,49
Sucre,2009,23
Sucre,2010,12
Sucre,2011,11
Sucre,2012,4
Sucre,2013,4
Sucre,2014,5
Sucre,2015,3
Sucre,2016,2
Sucre,2017,2
Tolima,2003,43
Tolima,2004,75
Tolima,2005,268
Tolima,2006,292
Tolima,2007,131
Tolima,2008,116
Tolima,2009,112
Tolima,2010,91
Tolima,2011,40
Tolima,2012,27
Tolima,2013,34
Tolima,2014,48
Tolima,2015,32
Tolima,2016,19
Tolima,2017,4
Valle Del Cauca,2003,59
Valle Del Cauca,2004,302
Valle Del Cauca,2005,368
Valle Del Cauca,2006,395
Valle Del Cauca,2007,390
Valle Del Cauca,2008,219
Valle Del Cauca,2009,279
Valle Del Cauca,2010,185
Valle Del Cauca,2011,128
Valle Del Cauca,2012,89
Valle Del Cauca,2013,134
Valle Del Cauca,2014,73
Valle Del Cauca,2015,69
Valle Del Cauca,2016,45
Valle Del Cauca,2017,27
Vaupes,2003,1
Vaupes,2004,0
Vaupes,2005,1
Vaupes,2006,3
Vaupes,2007,2
Vaupes,2008,3
Vaupes,2009,5
Vaupes,2010,9
Vaupes,2011,17
Vaupes,2012,7
Vaupes,2013,2
Vaupes,2014,2
Vaupes,2015,7
Vaupes,2016,5
Vaupes,2017,2
Vichada,2003,3
Vichada,2004,4
Vichada,2005,11
Vichada,2006,10
Vichada,2007,8
Vichada,2008,14
Vichada,2009,6
Vichada,2010,5
Vichada,2011,3
Vichada,2012,0
Vichada,2013,0
Vichada,2014,2
Vichada,2015,4
Vichada,2016,1
Vichada,2017,2
